Year,GeoType,Borough,GeoID,BCT2020,Name,CDType,NTAType,Pop2,Pop2P,Hsp1,Hsp1P,WNH,WNHP,BNH,BNHP,ANH,ANHP,ONH,ONHP,TwoPlNH,TwoPlNHP
2020,NTA2020,Manhattan,MN0502,,Midtown-Times Square,,0,"25,575",100,"3,278",12.8,"13,375",52.3,"2,419",9.5,"5,437",21.3,228,0.9,838,3.3
2020,NTA2020,Manhattan,MN0601,,Stuyvesant Town-Peter Cooper Village,,0,"22,512",100,"2,012",8.9,"14,758",65.6,707,3.1,"3,661",16.3,210,0.9,"1,164",5.2
2020,NTA2020,Manhattan,MN0602,,Gramercy,,0,"28,628",100,"2,559",8.9,"19,499",68.1,"1,080",3.8,"3,979",13.9,330,1.2,"1,181",4.1
2020,NTA2020,Manhattan,MN0603,,Murray Hill-Kips Bay,,0,"63,520",100,"6,501",10.2,"37,987",59.8,"3,035",4.8,"13,029",20.5,608,1,"2,360",3.7
2020,NTA2020,Manhattan,MN0604,,East Midtown-Turtle Bay,,0,"45,765",100,"3,198",7,"32,190",70.3,912,2,"7,531",16.5,380,0.8,"1,554",3.4
2020,NTA2020,Manhattan,MN0661,,United Nations,,6,0,,0,,0,,0,,0,,0,,0,
2020,NTA2020,Manhattan,MN0701,,Upper West Side-Lincoln Square,,0,"70,697",100,"7,152",10.1,"47,001",66.5,"2,820",4,"10,106",14.3,677,1,"2,941",4.2
2020,NTA2020,Manhattan,MN0702,,Upper West Side (Central),,0,"101,767",100,"12,985",12.8,"69,846",68.6,"5,805",5.7,"7,710",7.6,978,1,"4,443",4.4
2020,NTA2020,Manhattan,MN0703,,Upper West Side-Manhattan Valley,,0,"51,751",100,"12,952",25,"24,339",47,"6,402",12.4,"5,443",10.5,531,1,"2,084",4
2020,NTA2020,Manhattan,MN0801,,Upper East Side-Lenox Hill-Roosevelt Island,,0,"85,527",100,"6,796",7.9,"59,223",69.2,"2,688",3.1,"12,699",14.8,816,1,"3,305",3.9
2020,NTA2020,Manhattan,MN0802,,Upper East Side-Carnegie Hill,,0,"62,410",100,"3,522",5.6,"51,553",82.6,601,1,"4,412",7.1,401,0.6,"1,921",3.1
2020,NTA2020,Manhattan,MN0803,,Upper East Side-Yorkville,,0,"84,046",100,"8,199",9.8,"59,630",70.9,"2,968",3.5,"9,425",11.2,572,0.7,"3,252",3.9
2020,NTA2020,Manhattan,MN0901,,Morningside Heights,,0,"38,865",100,"7,549",19.4,"15,682",40.3,"5,276",13.6,"8,063",20.7,521,1.3,"1,774",4.6
2020,NTA2020,Manhattan,MN0902,,Manhattanville-West Harlem,,0,"22,183",100,"12,000",54.1,"3,187",14.4,"5,120",23.1,"1,036",4.7,255,1.1,585,2.6
2020,NTA2020,Manhattan,MN0903,,Hamilton Heights-Sugar Hill,,0,"49,410",100,"22,974",46.5,"9,421",19.1,"12,926",26.2,"1,685",3.4,532,1.1,"1,872",3.8
2020,NTA2020,Manhattan,MN1001,,Harlem (South),,0,"47,113",100,"9,894",21,"11,122",23.6,"20,323",43.1,"2,707",5.7,593,1.3,"2,474",5.3
2020,NTA2020,Manhattan,MN1002,,Harlem (North),,0,"83,327",100,"21,010",25.2,"8,656",10.4,"47,287",56.7,"2,341",2.8,899,1.1,"3,134",3.8
2020,NTA2020,Manhattan,MN1101,,East Harlem (South),,0,"59,814",100,"25,673",42.9,"11,964",20,"13,170",22,"6,717",11.2,571,1,"1,719",2.9
2020,NTA2020,Manhattan,MN1102,,East Harlem (North),,0,"64,655",100,"30,604",47.3,"6,731",10.4,"21,520",33.3,"3,095",4.8,670,1,"2,035",3.1
2020,NTA2020,Manhattan,MN1191,,Randall's Island,,9,"1,302",100,466,35.8,170,13.1,621,47.7,13,1,8,0.6,24,1.8
2020,NTA2020,Manhattan,MN1201,,Washington Heights (South),,0,"72,037",100,"48,447",67.3,"10,886",15.1,"7,641",10.6,"2,835",3.9,650,0.9,"1,578",2.2
2020,NTA2020,Manhattan,MN1202,,Washington Heights (North),,0,"71,842",100,"43,832",61,"20,269",28.2,"3,182",4.4,"2,141",3,698,1,"1,720",2.4
2020,NTA2020,Manhattan,MN1203,,Inwood,,0,"36,299",100,"24,951",68.7,"7,067",19.5,"2,331",6.4,775,2.1,330,0.9,845,2.3
2020,NTA2020,Manhattan,MN1291,,Highbridge Park,,9,12,100,8,66.7,0,,2,16.7,0,,1,8.3,1,8.3
2020,NTA2020,Manhattan,MN1292,,Inwood Hill Park,,9,16,100,6,37.5,0,,5,31.3,0,,0,,5,31.3
2020,NTA2020,Manhattan,MN6491,,Central Park,,9,129,100,32,24.8,32,24.8,49,38,2,1.6,5,3.9,9,7
2020,NTA2020,Queens,QN0101,,Astoria (North)-Ditmars-Steinway,,0,"50,225",100,"9,929",19.8,"31,539",62.8,"1,214",2.4,"5,089",10.1,636,1.3,"1,818",3.6
2020,NTA2020,Queens,QN0102,,Old Astoria-Hallets Point,,0,"18,927",100,"6,200",32.8,"6,286",33.2,"2,659",14,"2,635",13.9,386,2,761,4
2020,NTA2020,Queens,QN0103,,Astoria (Central),,0,"52,220",100,"11,915",22.8,"27,306",52.3,939,1.8,"8,982",17.2,805,1.5,"2,273",4.4
2020,NTA2020,Queens,QN0104,,Astoria (East)-Woodside (North),,0,"38,673",100,"10,501",27.2,"17,553",45.4,"1,771",4.6,"6,419",16.6,712,1.8,"1,717",4.4
2020,NTA2020,Queens,QN0105,,Queensbridge-Ravenswood-Dutch Kills,,0,"32,954",100,"10,257",31.1,"7,633",23.2,"6,519",19.8,"6,799",20.6,486,1.5,"1,260",3.8
2020,NTA2020,Bronx,QN0151,,Rikers Island,,5,"3,772",100,"1,259",33.4,260,6.9,"2,172",57.6,59,1.6,12,0.3,10,0.3
2020,NTA2020,Queens,QN0161,,Sunnyside Yards (North),,6,27,100,9,33.3,1,3.7,7,25.9,6,22.2,0,,4,14.8
2020,NTA2020,Queens,QN0171,,St. Michael's Cemetery,,7,5,100,3,60,0,,0,,0,,0,,2,40
2020,NTA2020,Queens,QN0191,,Astoria Park,,9,0,,0,,0,,0,,0,,0,,0,
2020,NTA2020,Queens,QN0201,,Long Island City-Hunters Point,,0,"32,216",100,"3,881",12,"14,346",44.5,"1,110",3.4,"10,927",33.9,485,1.5,"1,467",4.6
2020,NTA2020,Queens,QN0202,,Sunnyside,,0,"52,278",100,"18,957",36.3,"16,395",31.4,"1,716",3.3,"13,123",25.1,621,1.2,"1,466",2.8
2020,NTA2020,Queens,QN0203,,Woodside,,0,"53,188",100,"17,750",33.4,"8,497",16,940,1.8,"24,634",46.3,455,0.9,912,1.7
2020,NTA2020,Queens,QN0261,,Sunnyside Yards (South),,6,36,100,11,30.6,8,22.2,9,25,3,8.3,0,,5,13.9
2020,NTA2020,Queens,QN0271,,Calvary & Mount Zion Cemeteries,,7,0,,0,,0,,0,,0,,0,,0,
2020,NTA2020,Queens,QN0301,,Jackson Heights,,0,"101,848",100,"54,270",53.3,"15,306",15,"1,602",1.6,"27,581",27.1,"1,255",1.2,"1,834",1.8
2020,NTA2020,Queens,QN0302,,East Elmhurst,,0,"33,573",100,"21,630",64.4,"1,758",5.2,"4,981",14.8,"4,152",12.4,519,1.5,533,1.6
2020,NTA2020,Queens,QN0303,,North Corona,,0,"43,434",100,"37,491",86.3,559,1.3,"2,101",4.8,"2,542",5.9,428,1,313,0.7
2020,NTA2020,Queens,QN0401,,Elmhurst,,0,"107,864",100,"42,599",39.5,"5,534",5.1,"1,617",1.5,"55,785",51.7,901,0.8,"1,428",1.3
2020,NTA2020,Queens,QN0402,,Corona,,0,"73,822",100,"51,530",69.8,"3,881",5.3,"6,072",8.2,"10,561",14.3,801,1.1,977,1.3
2020,NTA2020,Queens,QN0501,,Maspeth,,0,"43,257",100,"13,959",32.3,"20,731",47.9,607,1.4,"6,916",16,409,0.9,635,1.5
2020,NTA2020,Queens,QN0502,,Ridgewood,,0,"66,402",100,"29,260",44.1,"26,843",40.4,"1,963",3,"6,007",9,732,1.1,"1,597",2.4
2020,NTA2020,Queens,QN0503,,Glendale,,0,"35,135",100,"14,109",40.2,"17,725",50.4,822,2.3,"1,587",4.5,287,0.8,605,1.7
2020,NTA2020,Queens,QN0504,,Middle Village,,0,"34,474",100,"7,190",20.9,"20,970",60.8,545,1.6,"4,813",14,241,0.7,715,2.1
2020,NTA2020,Queens,QN0571,,Mount Olivet & All Faiths Cemeteries,,7,3,100,0,,3,100,0,,0,,0,,0,
2020,NTA2020,Queens,QN0572,,Middle Village Cemetery,,7,0,,0,,0,,0,,0,,0,,0,
2020,NTA2020,Queens,QN0573,,St. John Cemetery,,7,3,100,2,66.7,0,,0,,0,,0,,1,33.3
2020,NTA2020,Queens,QN0574,,Highland Park-Cypress Hills Cemeteries (North),,7,20,100,5,25,10,50,0,,0,,1,5,4,20
2020,NTA2020,Queens,QN0601,,Rego Park,,0,"30,741",100,"6,047",19.7,"11,007",35.8,854,2.8,"11,112",36.1,462,1.5,"1,259",4.1
2020,NTA2020,Queens,QN0602,,Forest Hills,,0,"88,965",100,"13,547",15.2,"41,572",46.7,"2,588",2.9,"26,029",29.3,"1,161",1.3,"4,068",4.6
2020,NTA2020,Queens,QN0701,,College Point,,0,"33,625",100,"13,471",40.1,"7,176",21.3,687,2,"11,525",34.3,244,0.7,522,1.6
2020,NTA2020,Queens,QN0702,,Whitestone-Beechhurst,,0,"28,408",100,"4,401",15.5,"15,774",55.5,240,0.8,"7,430",26.2,170,0.6,393,1.4
2020,NTA2020,Queens,QN0703,,Bay Terrace-Clearview,,0,"23,287",100,"2,737",11.8,"12,436",53.4,341,1.5,"7,217",31,145,0.6,411,1.8
2020,NTA2020,Queens,QN0704,,Murray Hill-Broadway Flushing,,0,"57,387",100,"9,328",16.3,"11,372",19.8,875,1.5,"34,762",60.6,328,0.6,722,1.3
2020,NTA2020,Queens,QN0705,,East Flushing,,0,"34,704",100,"6,347",18.3,"3,502",10.1,795,2.3,"23,494",67.7,154,0.4,412,1.2
2020,NTA2020,Queens,QN0706,,Queensboro Hill,,0,"23,638",100,"3,814",16.1,"2,181",9.2,317,1.3,"16,896",71.5,184,0.8,246,1
2020,NTA2020,Queens,QN0707,,Flushing-Willets Point,,0,"69,879",100,"8,891",12.7,"3,466",5,"2,176",3.1,"54,191",77.5,373,0.5,782,1.1
2020,NTA2020,Queens,QN0761,,Fort Totten,,6,0,,0,,0,,0,,0,,0,,0,
2020,NTA2020,Queens,QN0791,,Kissena Park,,9,2,100,0,,0,,0,,1,50,1,50,0,
2020,NTA2020,Queens,QN0801,,Kew Gardens Hills,,0,"36,009",100,"5,180",14.4,"17,243",47.9,"2,247",6.2,"9,706",27,531,1.5,"1,102",3.1
2020,NTA2020,Queens,QN0802,,Pomonok-Electchester-Hillcrest,,0,"35,669",100,"7,978",22.4,"9,055",25.4,"4,898",13.7,"12,061",33.8,514,1.4,"1,163",3.3
2020,NTA2020,Queens,QN0803,,Fresh Meadows-Utopia,,0,"23,434",100,"2,973",12.7,"5,970",25.5,"1,374",5.9,"12,319",52.6,232,1,566,2.4
2020,NTA2020,Queens,QN0804,,Jamaica Estates-Holliswood,,0,"23,576",100,"3,495",14.8,"5,357",22.7,"5,652",24,"7,345",31.2,820,3.5,907,3.8
2020,NTA2020,Queens,QN0805,,Jamaica Hills-Briarwood,,0,"39,292",100,"9,356",23.8,"6,413",16.3,"4,303",11,"16,609",42.3,"1,096",2.8,"1,515",3.9
2020,NTA2020,Queens,QN0871,,Mount Hebron & Cedar Grove Cemeteries,,7,1,100,0,,0,,0,,0,,0,,1,100
2020,NTA2020,Queens,QN0891,,Cunningham Park,,9,5,100,1,20,0,,2,40,2,40,0,,0,
2020,NTA2020,Queens,QN0901,,Kew Gardens,,0,"24,371",100,"6,628",27.2,"9,744",40,"1,896",7.8,"4,464",18.3,572,2.3,"1,067",4.4
2020,NTA2020,Queens,QN0902,,Richmond Hill,,0,"34,100",100,"15,765",46.2,"4,005",11.7,"2,621",7.7,"7,680",22.5,"2,368",6.9,"1,661",4.9
2020,NTA2020,Queens,QN0903,,South Richmond Hill,,0,"24,141",100,"5,315",22,970,4,"2,305",9.5,"9,648",40,"3,796",15.7,"2,107",8.7
2020,NTA2020,Queens,QN0904,,Ozone Park (North),,0,"27,312",100,"11,203",41,"2,584",9.5,"1,631",6,"8,655",31.7,"1,759",6.4,"1,480",5.4
2020,NTA2020,Queens,QN0905,,Woodhaven,,0,"41,948",100,"24,618",58.7,"5,682",13.5,"1,705",4.1,"7,716",18.4,"1,223",2.9,"1,004",2.4
2020,NTA2020,Queens,QN1001,,South Ozone Park,,0,"79,540",100,"14,769",18.6,"4,091",5.1,"15,595",19.6,"20,619",25.9,"14,798",18.6,"9,668",12.2
2020,NTA2020,Queens,QN1002,,Ozone Park,,0,"23,518",100,"9,044",38.5,"4,553",19.4,"1,600",6.8,"6,274",26.7,"1,160",4.9,887,3.8
2020,NTA2020,Queens,QN1003,,Howard Beach-Lindenwood,,0,"27,320",100,"6,865",25.1,"17,123",62.7,842,3.1,"1,584",5.8,297,1.1,609,2.2
2020,NTA2020,Queens,QN1091,,Spring Creek Park,,9,0,,0,,0,,0,,0,,0,,0,
2020,NTA2020,Queens,QN1101,,Auburndale,,0,"36,182",100,"5,159",14.3,"11,452",31.7,550,1.5,"18,220",50.4,227,0.6,574,1.6
2020,NTA2020,Queens,QN1102,,Bayside,,0,"35,588",100,"4,163",11.7,"11,708",32.9,806,2.3,"18,076",50.8,189,0.5,646,1.8
2020,NTA2020,Queens,QN1103,,Douglaston-Little Neck,,0,"25,262",100,"2,488",9.8,"10,340",40.9,408,1.6,"11,354",44.9,142,0.6,530,2.1
2020,NTA2020,Queens,QN1104,,Oakland Gardens-Hollis Hills,,0,"25,249",100,"2,712",10.7,"8,487",33.6,881,3.5,"12,329",48.8,211,0.8,629,2.5
2020,NTA2020,Queens,QN1191,,Alley Pond Park,,9,85,100,16,18.8,63,74.1,0,,4,4.7,1,1.2,1,1.2
2020,NTA2020,Queens,QN1201,,Jamaica,,0,"60,993",100,"20,859",34.2,"2,001",3.3,"10,614",17.4,"21,263",34.9,"3,481",5.7,"2,775",4.5
2020,NTA2020,Queens,QN1202,,South Jamaica,,0,"44,401",100,"8,039",18.1,514,1.2,"23,161",52.2,"7,240",16.3,"2,750",6.2,"2,697",6.1
2020,NTA2020,Queens,QN1203,,Baisley Park,,0,"43,090",100,"6,074",14.1,611,1.4,"25,894",60.1,"3,804",8.8,"3,250",7.5,"3,457",8
2020,NTA2020,Queens,QN1204,,Springfield Gardens (North)-Rochdale Village,,0,"32,883",100,"2,985",9.1,353,1.1,"26,651",81,699,2.1,638,1.9,"1,557",4.7
2020,NTA2020,Queens,QN1205,,St. Albans,,0,"51,816",100,"4,882",9.4,617,1.2,"40,664",78.5,"1,764",3.4,"1,158",2.2,"2,731",5.3
2020,NTA2020,Queens,QN1206,,Hollis,,0,"24,576",100,"3,671",14.9,658,2.7,"11,062",45,"5,426",22.1,"2,158",8.8,"1,601",6.5
2020,NTA2020,Queens,QN1301,,Glen Oaks-Floral Park-New Hyde Park,,0,"23,364",100,"2,551",10.9,"8,334",35.7,"1,161",5,"10,190",43.6,469,2,659,2.8
2020,NTA2020,Queens,QN1302,,Bellerose,,0,"26,566",100,"4,406",16.6,"5,430",20.4,"2,144",8.1,"12,942",48.7,824,3.1,820,3.1
2020,NTA2020,Queens,QN1303,,Queens Village,,0,"54,345",100,"9,585",17.6,"2,456",4.5,"22,922",42.2,"12,071",22.2,"3,968",7.3,"3,343",6.2
2020,NTA2020,Queens,QN1304,,Cambria Heights,,0,"19,081",100,"1,304",6.8,272,1.4,"16,121",84.5,259,1.4,292,1.5,833,4.4
2020,NTA2020,Queens,QN1305,,Laurelton,,0,"26,088",100,"1,939",7.4,350,1.3,"21,842",83.7,234,0.9,426,1.6,"1,297",5
2020,NTA2020,Queens,QN1306,,Springfield Gardens (South)-Brookville,,0,"23,103",100,"2,261",9.8,429,1.9,"18,164",78.6,613,2.7,529,2.3,"1,107",4.8
2020,NTA2020,Queens,QN1307,,Rosedale,,0,"27,101",100,"2,923",10.8,930,3.4,"20,706",76.4,639,2.4,556,2.1,"1,347",5
2020,NTA2020,Queens,QN1371,,Montefiore Cemetery,,7,0,,0,,0,,0,,0,,0,,0,
2020,NTA2020,Queens,QN1401,,Far Rockaway-Bayswater,,0,"58,648",100,"15,593",26.6,"13,758",23.5,"24,218",41.3,"1,401",2.4,"1,325",2.3,"2,353",4
2020,NTA2020,Queens,QN1402,,Rockaway Beach-Arverne-Edgemere,,0,"41,367",100,"10,471",25.3,"6,824",16.5,"19,712",47.7,"1,756",4.2,798,1.9,"1,806",4.4
2020,NTA2020,Queens,QN1403,,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,,0,"24,134",100,"2,521",10.4,"19,590",81.2,936,3.9,396,1.6,231,1,460,1.9
2020,NTA2020,Queens,QN1491,,Rockaway Community Park,,9,12,100,7,58.3,0,,1,8.3,0,,0,,4,33.3
2020,NTA2020,Queens,QN8081,,LaGuardia Airport,,8,0,,0,,0,,0,,0,,0,,0,
2020,NTA2020,Queens,QN8191,,Flushing Meadows-Corona Park,,9,44,100,17,38.6,3,6.8,13,29.5,3,6.8,3,6.8,5,11.4
2020,NTA2020,Queens,QN8291,,Forest Park,,9,4,100,3,75,1,25,0,,0,,0,,0,
2020,NTA2020,Queens,QN8381,,John F. Kennedy International Airport,,8,2,100,0,,0,,1,50,0,,0,,1,50
2020,NTA2020,Queens,QN8491,,Jamaica Bay (East),,9,0,,0,,0,,0,,0,,0,,0,
2020,NTA2020,Queens,QN8492,,Jacob Riis Park-Fort Tilden-Breezy Point Tip,,9,24,100,1,4.2,17,70.8,5,20.8,0,,1,4.2,0,
2020,NTA2020,Staten Island,SI0101,,St. George-New Brighton,,0,"20,549",100,"7,049",34.3,"4,394",21.4,"6,561",31.9,"1,471",7.2,278,1.4,796,3.9
2020,NTA2020,Staten Island,SI0102,,Tompkinsville-Stapleton-Clifton-Fox Hills,,0,"19,027",100,"7,363",38.7,"3,006",15.8,"6,031",31.7,"1,828",9.6,218,1.1,581,3.1
2020,NTA2020,Staten Island,SI0103,,Rosebank-Shore Acres-Park Hill,,0,"25,510",100,"6,539",25.6,"6,988",27.4,"5,553",21.8,"5,627",22.1,248,1,555,2.2
2020,NTA2020,Staten Island,SI0104,,West New Brighton-Silver Lake-Grymes Hill,,0,"37,010",100,"9,771",26.4,"16,673",45,"6,116",16.5,"2,975",8,358,1,"1,117",3
2020,NTA2020,Staten Island,SI0105,,Westerleigh-Castleton Corners,,0,"31,458",100,"5,231",16.6,"20,885",66.4,855,2.7,"3,505",11.1,200,0.6,782,2.5
2020,NTA2020,Staten Island,SI0106,,Port Richmond,,0,"22,609",100,"11,091",49.1,"3,989",17.6,"5,124",22.7,"1,567",6.9,240,1.1,598,2.6
2020,NTA2020,Staten Island,SI0107,,Mariner's Harbor-Arlington-Graniteville,,0,"33,492",100,"11,910",35.6,"6,618",19.8,"9,853",29.4,"3,659",10.9,453,1.4,999,3
2020,NTA2020,Staten Island,SI0191,,Snug Harbor,,9,8,100,1,12.5,7,87.5,0,,0,,0,,0,
2020,NTA2020,Staten Island,SI0201,,Grasmere-Arrochar-South Beach-Dongan Hills,,0,"36,259",100,"6,039",16.7,"20,914",57.7,"1,828",5,"6,499",17.9,241,0.7,738,2
2020,NTA2020,Staten Island,SI0202,,New Dorp-Midland Beach,,0,"29,083",100,"4,221",14.5,"19,149",65.8,432,1.5,"4,507",15.5,250,0.9,524,1.8
2020,NTA2020,Staten Island,SI0203,,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,,0,"32,822",100,"3,420",10.4,"20,597",62.8,"1,348",4.1,"6,486",19.8,284,0.9,687,2.1
2020,NTA2020,Staten Island,SI0204,,New Springville-Willowbrook-Bulls Head-Travis,,0,"42,871",100,"6,537",15.2,"25,502",59.5,"1,295",3,"8,401",19.6,275,0.6,861,2
2020,NTA2020,Staten Island,SI0291,,Freshkills Park (North),,9,15,100,6,40,4,26.7,3,20,0,,0,,2,13.3
2020,NTA2020,Staten Island,SI0301,,Oakwood-Richmondtown,,0,"22,388",100,"2,523",11.3,"16,322",72.9,581,2.6,"2,366",10.6,137,0.6,459,2.1
2020,NTA2020,Staten Island,SI0302,,Great Kills-Eltingville,,0,"54,699",100,"5,571",10.2,"43,582",79.7,316,0.6,"4,076",7.5,237,0.4,917,1.7
2020,NTA2020,Staten Island,SI0303,,Arden Heights-Rossville,,0,"30,683",100,"3,945",12.9,"22,611",73.7,457,1.5,"2,934",9.6,149,0.5,587,1.9
2020,NTA2020,Staten Island,SI0304,,Annadale-Huguenot-Prince's Bay-Woodrow,,0,"40,534",100,"3,655",9,"33,263",82.1,299,0.7,"2,372",5.9,206,0.5,739,1.8
2020,NTA2020,Staten Island,SI0305,,Tottenville-Charleston,,0,"16,089",100,"1,891",11.8,"13,186",82,136,0.8,439,2.7,109,0.7,328,2
2020,NTA2020,Staten Island,SI0391,,Freshkills Park (South),,9,95,100,35,36.8,31,32.6,2,2.1,19,20,1,1.1,7,7.4
2020,NTA2020,Staten Island,SI9561,,Fort Wadsworth,,6,495,100,154,31.1,238,48.1,40,8.1,15,3,9,1.8,39,7.9
2020,NTA2020,Staten Island,SI9591,,Hoffman & Swinburne Islands,,9,0,,0,,0,,0,,0,,0,,0,
2020,NTA2020,Staten Island,SI9592,,Miller Field,,9,46,100,8,17.4,19,41.3,5,10.9,7,15.2,6,13,1,2.2
2020,NTA2020,Staten Island,SI9593,,Great Kills Park,,9,5,100,0,,3,60,0,,0,,1,20,1,20
